ticker,sector,quarter,role,speaker,sentence,topic_id,topic_label
BAJAJFIN,NBFC,Q2FY25,Management,Sandeep Jain,We are not privy to any further rate cut that is being discussed or has been announced,-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"Benefit will flow in next year, not in the current year.",-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Analyst,Viral,"But there will be a benefit then, right?",-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Analyst,Viral,"On the gold loan piece, more so from, say, a",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"Let him -- sorry, go ahead, go ahead.",-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Analyst,Viral,"So just on the second scenario, you mentioned that, say, assuming the gold prices don't go",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"I should have covered that at a fundamental level, see, one of the key modes that we've developed",-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Analyst,"Singh from Emkay Global.
Avinash Singh","Quickly, if you can help, I mean, the softness in other operating income, is it -- I mean, lower",-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Management,Sandeep Jain,"The other operating income, as you rightly called out, is on account",-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"No, but we had also guided that in the current year...",-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Management,Sandeep Jain,That's overall fee and other income put together.,-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Management,Sandeep Jain,We are guided for the full year that between,-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,The second question was going down the curve; we keep reiterating that is risk first.,-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Analyst,"Wealth.
Marukh Adajaniya",You transparently laid out all the SME-related issues.,-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Analyst,"Wealth.
Marukh Adajaniya",And I guess you were the first to flag it,-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,I'm a bigger believer in micro than macro.,0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Analyst,Anuj Singla,Thank you Bajaj Finance team for the opportunity.,-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Management,Rajeev Jain,"Thank you, Morgan Stanley, for hosting this call.",2,Business Opportunities
BAJAJFIN,NBFC,Q3FY25,Management,Rajeev Jain,"I have with me in the room, Sandeep Jain,",3,Management Commentary
BAJAJFIN,NBFC,Q3FY25,Analyst,Viral Shah,"Hi, thank you for the opportunity for letting me ask the question.",2,Business Opportunities
BAJAJFIN,NBFC,Q3FY25,Analyst,Viral Shah,"So, Rajeev first with regards to the ECL",3,Management Commentary
BAJAJFIN,NBFC,Q3FY25,Management,Rajeev Jain,The first one requires a little longer explanation.,1,Analyst Q&A
BAJAJFIN,NBFC,Q3FY25,Management,Sandeep Jain,"So, I think as Rajeev called out, these are the actions that we have taken on a voluntary basis.",3,Management Commentary
BAJAJFIN,NBFC,Q3FY25,Management,Rajeev Jain,"We could have taken a view to do an overlay, given the environment, global environment, not local environment,",-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Management,Sandeep Jain,"And as the Board and committee approved the change, I think they were also very clear in communication that",-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Analyst,Viral Shah,"So, I understand that this is a decision by the Board to do this.",-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Management,Rajeev Jain,"I want to correct you, this is by management, point number one.",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q3FY25,Management,Rajeev Jain,"Two, fully supported and ratified by the Board.",-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Management,Sandeep Jain,"So, Abhijit as you would recollect, the recent times have been extremely volatile, not only in terms of just the",-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Management,Rajeev Jain,I'll just make added point from -- so that the question is in addition to why now to the direction of travel on credit,-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Management,Sandeep Jain,"I think on a lighter note, Rajeev, there could not be a better occasion to communicate and give the message to",3,Management Commentary
BAJAJFIN,NBFC,Q3FY25,Analyst,Abhijit Tibrewal,"I mean, this quarter, maybe it was just a coincidence that, I mean, we sold a",1,Analyst Q&A
BAJAJFIN,NBFC,Q3FY25,Management,Sandeep Jain,We were expecting that this question will be raised regarding the timing of the provisioning.,-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Analyst,Abhijit Tibrewal,I just wanted to squeeze in one last question on business.,1,Analyst Q&A
BAJAJFIN,NBFC,Q3FY25,Analyst,Abhijit Tibrewal,"On the MSME side, I mean, you've explained for the",-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Management,Rajeev Jain,And we are mostly -- as I was making a point that over,1,Analyst Q&A
BAJAJFIN,NBFC,Q3FY25,Management,Sandeep Jain,"Yes, if I may just add on the MSME point, I think we had called out this last quarter as well that looking at the",1,Analyst Q&A
BAJAJFIN,NBFC,Q3FY25,Analyst,Piran Engineer,Congrats and thanks for the extra slides on FINAI.,2,Business Opportunities
BAJAJFIN,NBFC,Q3FY25,Analyst,Piran Engineer,"Before my question, just to confirm, when you say the stake",-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Management,Sandeep Jain,It goes and directly sits in the reserves.,0,Cost & Sales Performance
BAJAJFIN,NBFC,Q3FY25,Management,Sandeep Jain,It doesn't come in the P&L at all.,-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Analyst,Piran Engineer,"And the full INR 1,400 crores or is there a tax impact?",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q3FY25,Management,Sandeep Jain,The entire amount net of tax goes and sits in the reserve line.,0,Cost & Sales Performance
BAJAJFIN,NBFC,Q3FY25,Analyst,Piran Engineer,"But anyway, I don't want to argue on that.",-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Management,Sandeep Jain,"I think as regards write-off policy is concerned, Piran, we are -- which is reasonably prudent.",-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Analyst,Piran Engineer,"And just secondly, your fee income growth of 30% Y-o-Y is pretty strong compared to what we've seen in",-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Management,Rajeev Jain,"Piran, this should gravitate closer to -- from the next fiscal gravitate closer to between 18% and 20%.",-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Management,Sandeep Jain,"There were one-timers in the last year, we had some INR 80 crores of gain sitting in the other operating income",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q3FY25,Analyst,Piran Engineer,"No, Sandeep, I'm referring only to the fee and commission line item, the INR 1,960 crore line item.",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q3FY25,Management,Sandeep Jain,"And as Rajeev alluded to, as we get into FY '27",3,Management Commentary
BAJAJFIN,NBFC,Q3FY25,Analyst,Abhishek Murarka,"One, just on cost of funds, can you talk",-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Management,Rajeev Jain,"If you actually go to the first nine months of growth in AUM, okay, I mean, MFI is",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q3FY25,Analyst,Abhishek Murarka,"If you're targeting a profitability metric, it's more ROE than ROA.",3,Management Commentary
BAJAJFIN,NBFC,Q3FY25,Management,Rajeev Jain,I mean we give same amount of leverage to each business other than the mortgage,0,Cost & Sales Performance
BAJAJFIN,NBFC,Q3FY25,Analyst,Shreya Shivani,My first question is on the urban B2C or rural B2C these,-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Management,Rajeev Jain,"No, just I think just related to businesses, and I want to refer back to even Abhishek's point, I want you guys when",-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Analyst,Shreya Shivani,"So, you're saying that pre-COVID till now -- from 2019 till now, our market share probably",-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Management,Rajeev Jain,Between 7% and 10% is what it gravitated around.,0,Cost & Sales Performance
BAJAJFIN,NBFC,Q3FY25,Management,Rajeev Jain,"Mind you, Shivani, if I may make a",3,Management Commentary
BAJAJFIN,NBFC,Q3FY25,Analyst,Shreya Shivani,"So, then that probably explains the revision in the LGD floors.",-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Management,Rajeev Jain,I mean if there is only one red flag that I would have is that the overall consumer leverage,0,Cost & Sales Performance
BAJAJFIN,NBFC,Q3FY25,Management,Sandeep Jain,"Just on the LGD piece, I think as you see Slide #54, where we have provided provisioning coverage ratio by",-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Analyst,Shreya Shivani,"Sir, just my question on the gold loan.",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q3FY25,Analyst,Shreya Shivani,"What will be the strategy for next year, if you're going to share",-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Management,Rajeev Jain,I mean I've used the word quite optimistic if you see in my investor deck as well.,-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Analyst,Chintan Joshi,And perhaps one last one on LRS since we didn't get a chance,3,Management Commentary
BAJAJFIN,NBFC,Q3FY25,Analyst,Chintan Joshi,"The differences like -- as you compare the two LRS, you went through the exercise, what did you think was more",-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Management,Rajeev Jain,"So, all LRS in general or any management strategy is on a continuum, okay.",3,Management Commentary
BAJAJFIN,NBFC,Q3FY25,Analyst,Chintan Joshi,"There is plenty to unpick there, but we don't have the time.",-1,General Discussion
BAJAJFIN,NBFC,Q3FY25,Management,Rajeev Jain,"I would just say focus on core operating performance remains strong, and we are quite excited",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q4FY25,Management,Rajeev Jain,"Good evening or good morning, depending on the",2,Business Opportunities
